scp-4716,Keter,,daevite document ethics-committee fifthist keter ritual sarkic scp 
scp-4717,Euclid,,euclid geological humanoid sapient scp sentient telepathic visual 
scp-4718,safe,,extradimensional mind-affecting safe scp tactile thermal 
scp-4719,Euclid,,acoustic autonomous cliche2019 container ectoentropic euclid scp sentient teleportation toy uncontained vehicle wooden 
scp-472,Safe Anomalous Euclid,,auditory engraved euclid hallucination mind-affecting rewrite scp stone visual 
scp-4720,Safe (formerly Euclid)1,site-2498,broken-masquerade document jam-con2019 narrative ontokinetic safe scp 
scp-4721,Euclid,,euclid historical humanoid scp 
scp-4722,Keter,,auditory ectoentropic keter light probability scp uncontained 
scp-4723,euclid,,euclid feline humanoid sapient scp sentient 
scp-4724,Neutralized,,alive biological building cadaver co-authored exquisite-corpse2020 humanoid neutralized scp sexual 
scp-4725,Euclid,,anderson automaton chaos-insurgency end-of-death ethics-committee euclid humanoid metamorphic neurological scp 
scp-4726,Euclid,site-14,alive euclid gustatory humanoid liquid sapient scp sentient 
scp-4727,Safe,site-65,ectoentropic jam-con2019 safe scp sleep weapon 
scp-4728,Safe,,auditory electronic mobile online safe scp virus visual 
scp-4729,Neutralized,,cadaver electromagnetic extraterrestrial gaseous humanoid light metallic neutralized scp sentient 
scp-473,Euclid,,aquatic auditory cognitohazard euclid hallucination mind-affecting scp vehicle 
scp-4730,Keter,,humanoid keter mechanical scp teleportation uncontained vehicle 
scp-4731,Safe,area-32,electromagnetic extraterrestrial light location portal safe scp 
scp-4732,Safe,,artifact loop ontokinetic recording safe scp 
scp-4733,safe,area-27,appliance clockwork co-authored collab-con2019 dado glass liquid medical memory-affecting metallic professor-aw safe scp transmission wooden 
scp-4734,Safe,,euclid extraterrestrial foundation-made ontokinetic scp stone temporal vehicle 
scp-4735,safe,,artifact compulsion mind-affecting safe scp transfiguration 
scp-4736,Decommissioned (Informal),,cadaver concept deepwell-catalog foundation-made future humanoid ontokinetic scp thaumiel 
scp-4737,Safe,,animal clothing ectoentropic jewelry safe sapient scp 
scp-4738,keter,,extradimensional intangible k-class-scenario keter religious ritual sarkic scp transfiguration 
scp-4739,Safe,,compulsion container hostile probability safe scp 
scp-474,Euclid,site-77,alexylva audio auditory euclid extradimensional jam-con2019 medical oneiroi rewritable scp sleep 
scp-4740,Keter,,document ectoentropic humanoid keter memetic plant scp transfiguration 
scp-4741,thaumiel,,acoustic artifact autonomous ectoentropic k-class-scenario knowledge mechanical metallic sapient scp sentient skeletal thaumiel 
scp-4742,euclid,,chaos-insurgency ectoentropic euclid mechanical sapient scp 
scp-4743,Euclid,,dread&circuses euclid herman-fuller mobile performance scp swarm 
scp-4744,euclid,,are-we-cool-yet artistic building euclid intangible jam-con2019 location scp 
scp-4745,Safe,site-65,dr-wondertainment hostile safe scp toy transfiguration 
scp-4746,N/A,,chaos-insurgency euclid humanoid infohazard meta sapient scp sentient 
scp-4747,Euclid,site-45,autonomous document euclid extremity hostile mind-affecting organic ritual scp 
scp-4748,Euclid,,alive aquatic cetacean euclid metallic scp sentient species vehicle 
scp-4749,euclid,,appliance building ectoentropic electronic entropic euclid scp 
scp-475,Safe,site-2498,broken-god chemical children-of-the-torch co-authored daevite fifthist global-occult-coalition horizon-initiative inscribed k-class-scenario liquid mind-affecting ontokinetic religious rewrite safe sarkic scarlet-king scp sculpture second-hytoth transfiguration 
scp-4750,Keter,,cliche2019 clothing humanoid keter sapient scp sentient uncontained 
scp-4751,Euclid,,euclid humanoid jam-con2020 scp sensory visual 
scp-4752,Safe,,geological historical location safe scp 
scp-4753,Euclid,,amorphous daevite euclid inscribed k-class-scenario liquid observational scp stone telepathic temporal 
scp-4754,Euclid,,building dental euclid humanoid jam-con2020 rewritable scp 
scp-4755,esoteric-class,,concept deepwell-catalog esoteric-class narrative reviewers-spotlight scp tau-5-samsara temporal 
scp-4756,safe,,container hostile humanoid metamorphic ritual safe sarkic scp sentient 
scp-4757,euclid,,biological euclid historical humanoid ontokinetic sapient scp sentient skeletal teleportation 
scp-4758,safe,,auditory biohazard cognitohazard document ectoentropic extremity fire hallucination neurological safe sarkic scp serpents-hand transfiguration visual 
scp-4759,Keter,,document food humanoid keter scp sleep uncontained 
scp-476,Safe,,location map safe scp 
scp-4760,euclid,,anderson electrical electromagnetic euclid sapient scp sensory temporal vincent-anderson 
scp-4761,Uncontained/Euclid,,arcadia co-authored electronic euclid exchange game memory-affecting online scp uncontained 
scp-4762,neutralized,,electronic ethics-committee extradimensional extraterrestrial gru-division-p hallucination historical mind-affecting neutralized pentagram scp 
scp-4763,safe,,concept empathic liquid location narrative ontokinetic safe scp structure 
scp-4764,safe,,are-we-cool-yet co-authored exquisite-corpse2020 global-occult-coalition musical ritual safe scp temporal 
scp-4765,safe,,artifact mind-affecting safe scp visual 
scp-4766,euclid,,container ectoentropic euclid scp telekinetic teleportation wooden 
scp-4767,Euclid,,building euclid extradimensional jam-con2019 sapient scp sleep uncontained 
scp-4768,keter,,antimemetic donkman equine global-occult-coalition humanoid keter sapient scp sensory sentient 
scp-4769,Euclid Keter,,antimemetic biological humanoid keter ontokinetic photographic physics sapient scp sentient transfiguration 
scp-477,Euclid,,alive animal euclid reanimation scp 
scp-4770,Euclid,site-14,alive euclid invertebrate neurological parasitic scp sentient species 
scp-4771,Safe,site-18,acoustic artifact canine chaos-insurgency empathic intangible metallic safe scp 
scp-4772,Euclid,,euclid historical religious ritual sarkic scp transfiguration 
scp-4773,,,antimemetic cadaver co-authored esoteric-class humanoid meta miscommunications mobile scp sensory toy 
scp-4774,euclid,,ad-astra cognitohazard concept euclid extraterrestrial memetic planet scp 
scp-4775,Euclid,,alive cadaver euclid goi2019 humanoid organic scp 
scp-4776,keter,,antimemetic historical keter military pentagram satellite scp the-trashfire weapon 
scp-4777,Euclid Neutralised,,4000 euclid humanoid memetic neutralized scp 
scp-4778,archon,,archon cetacean ethics-committee light scp species transfiguration 
scp-4779,Euclid,,document euclid extradimensional glass historical location scp 
scp-478,Euclid,site-65,airborne alive animal dental euclid insect lepidopteran scp transfiguration 
scp-4780,Apollyon,,apollyon humanoid meta miniature sapient scp 
scp-4781,keter,,alive cognitohazard invertebrate keter scp sensory species 
scp-4782,Keter,,hallucination keter observational pattern-screamer scp sensory visual 
scp-4783,keter,,building keter narrative ritual sarkic scp 
scp-4784,euclid,,are-we-cool-yet artistic cognitohazard compulsion deer-college euclid gamers-against-weed historical location narrative paradox recording scp three-portlands 
scp-4785,Memetic,,audio building co-authored extradimensional keter mind-affecting scp uncontained 
scp-4786,keter,site-45,alive keter memoria-adytum organic sarkic scp xia-dynasty 
scp-4787,esoteric-class,,esoteric-class location memory-affecting meta scp transfiguration 
scp-4788,euclid,,auditory bovine cadaver ectoentropic euclid hallucination humanoid indestructible scp teleportation thermal 
scp-4789,Safe,,auditory clothing hallucination jam-con2019 safe scp sensory sleep telekinetic visual 
scp-479,Euclid,,building euclid hallucination scp visual 
scp-4790,pending,,ad-astra aiad cognitohazard extraterrestrial gravity pattern-screamer pending physics scp 
scp-4791,Neutralized (See Significant Novels),site-19,cognitohazard end-of-death jam-con2019 narrative neutralized observational scp 
scp-4792,keter,,computer container extraterrestrial immobile keter mechanical physics predatory sapient scp self-replicating sentient 
scp-4793,euclid,,alive chaos-insurgency euclid historical humanoid inscribed location marshall-carter-and-dark prize-feature sapient scp self-repairing sentient stone transfiguration 
scp-4794,Euclid,,computer electronic euclid extraterrestrial humanoid scp transmission 
scp-4795,keter,area-27,airborne alive animal avian co-authored hostile keter location mind-affecting reviewers-spotlight sapient scp sentient statue swarm tactical-theology team-bird 
scp-4796,Euclid,,cephalopodic euclid food hostile location plant reptilian scp skeletal 
scp-4797,thaumiel,site-98,city ethics-committee ontokinetic portal scp species thaumiel 
scp-4798,Euclid Keter,,artistic cognitohazard genetic keter memetic meta scp virus 
scp-4799,Humanoid/Parauniversal,,alive extradimensional global-occult-coalition humanoid keter sapient scp sentient 
scp-48,None (see description),,esoteric-class mathematical meta probability scp 
scp-480,Euclid,,electromagnetic euclid extradimensional location mind-affecting scp sensory sleep 
scp-4800,Parauniversal,,4000 broken-god daevite extradimensional keter sarkic scp temporal 
scp-4801,euclid,,acoustic euclid ontokinetic scp sentient temporal vehicle 
scp-4802,keter,,auditory avian cognitohazard keter scp 
scp-4803,Euclid,,euclid extradimensional humanoid language organic portal sapient scp sentient tool 
scp-4804,keter,,antimemetic document extradimensional food hostile jam-con2019 k-class-scenario keter mind-affecting scp uncontained 
scp-4805,euclid,,building ectoentropic ethics-committee euclid scp temporal 
scp-4806,Keter,,cognitohazard compulsion keter mechanical scp teleportation tool uncontained visual 
scp-4807,safe,,engraved infohazard meta safe scp sculpture stone 
scp-4808,Canine,,animal cadaver canine ectoentropic euclid jam-con2019 scp 
scp-4809,keter,,cognitohazard electronic ethics-committee extradimensional keter neurological online scp 
scp-481,Euclid,,empathic euclid humanoid location map scp 
scp-4810,keter,,arthropod biohazard biological building cervine co-authored ectoentropic goi2019 insect keter mind-affecting plant scp skeletal vermian 
scp-4811,Safe,,acoustic artifact extradimensional factory metallic safe scp transfiguration 
scp-4812,esoteric-class,,agent-lament airborne alive animal children-of-the-night cognitohazard document esoteric-class geological global-occult-coalition humanoid sapient scp self-repairing sentient thermodynamic uncontained visual 
scp-4813,thaumiel,,concept empathic mind-affecting scp thaumiel weapon 
scp-4814,Euclid,,alive ambrose-restaurant arboreal euclid humanoid scp sentient 
scp-4815,Neutralized,,future humanoid neutralized sapient scp sentient telepathic 
scp-4816,neutralized,site-18,computer electronic gamers-against-weed jockjamsvol6 neutralized photographic scp 
scp-4817,euclid,,cadaver co-authored equine euclid historical humanoid ontokinetic reanimation scp transfiguration 
scp-4818,euclid,site-14,euclid humanoid light scp 
scp-4819,Safe,,liquid location memory-affecting safe scp teleportation temporal 
scp-482,Euclid,,clothing euclid mind-affecting scp transfiguration 
scp-4820,euclid,site-14,alive d-11424 ectoentropic euclid humanoid medical sapient scp sentient 
scp-4821,Keter,,extradimensional humanoid indestructible keter memory-affecting ontokinetic scp sentient teleportation uncontained 
scp-4822,Safe,,cadaver ectoentropic humanoid media photographic safe scp 
scp-4823,safe,,extradimensional featured food gravity indestructible plant portal reviewers-spotlight safe scp 
scp-4824,Euclid,site-2498,daevite ethics-committee euclid historical humanoid inscribed meteorological sapient scp sentient stone telekinetic transfiguration 
scp-4825,safe,,furniture safe scp tactile transfiguration wooden 
scp-4826,Euclid,,euclid humanoid reanimation scp self-repairing 
scp-4827,keter,,cognitohazard extradimensional extraterrestrial keter narrative pattern-screamer portal scp 
scp-4828,Euclid,site-19,document euclid k-class-scenario ontokinetic ritual scp 
scp-4829,Euclid,,ectoentropic euclid extraterrestrial moon reproductive scp vibration 
scp-483,Safe,,chemical safe scp self-replicating spacetime temporal 
scp-4830,keter,,intangible keter memetic memory-affecting meta neurological predatory scp 
scp-4831,Safe,,building ethics-committee humanoid indestructible safe sapient scp sentient 
scp-4832,Safe,,antimemetic appliance electronic metamorphic safe scp visual 
scp-4833,keter,,alive class-of-76 humanoid keter musical ontokinetic prize-feature sapient scp sentient 
scp-4834,Euclid,,cadaver euclid humanoid k-class-scenario scp teleportation temporal 
scp-4835,Safe Keter,,bovine ectoentropic hostile keter mobile sapient scp sentient telepathic toy uncontained 
scp-4836,safe,site-65,safe scp toy ursine 
scp-4837,Euclid,,animal avian co-authored euclid exchange scp sentient telepathic 
scp-4838,neutralized,,cognitohazard document ectoentropic neutralized predatory scp sentient teleportation 
scp-4839,esoteric-class,,esoteric-class extradimensional infohazard k-class-scenario meta mind-affecting scp the-administrator three-moons-initiative 
scp-484,Safe,,chemical hallucination memory-affecting safe scp 
scp-4840,keter,,adaptive bibliothetic children-of-the-night city keter mobile religious scp 
scp-4841,Safe,,artistic building ectoentropic religious safe sarkic scp 
scp-4842,Euclid,,acoustic audio ectoentropic electronic euclid media recording scp 
scp-4843,Safe,,cadaver ectoentropic reviewers-spotlight safe scp wooden 
scp-4844,Keter,,humanoid jam-con2019 keter ontokinetic scp 
scp-4845,safe,site-120,building ectoentropic extraterrestrial location safe scp 
scp-4846,Euclid,,autonomous co-authored dinosaurian euclid prize-feature scp sentient skeletal 
scp-4847,Keter,,future keter metamorphic ontokinetic scp temporal uncontained 
scp-4848,Keter,,4000 auditory cognitohazard gru-division-p historical keter memetic scp visual 
scp-4849,Safe,,alive clothing corrosive d-11424 extradimensional parasitic portal prometheus safe scp 
scp-485,Safe,,doctor-bright inscribed instrument safe scp telekinetic telepathic 
scp-4850,keter,,alive animal antimemetic aquatic carnivorous cliche2019 concept extradimensional fifthist gravity keter mind-affecting physics portal predatory scp spacetime teleportation temporal 
scp-4851,Keter,,adaptive alive animal global-occult-coalition hostile keter plant scp 
scp-4852,euclid,site-19,alive director-aktus director-moose doctor-bright doctor-clef doctor-kondraki ectoentropic euclid kain-pathos-crow location scp sentient 
scp-4853,Keter(2),,concept infohazard keter meta reviewers-spotlight scp 
scp-4854,Euclid,,doctor-sinclair euclid hallucination jam-con2019 media ritual s&c-plastics scp 
scp-4855,euclid,site-14,alive cognitohazard deepwell-catalog euclid humanoid infohazard memetic mind-affecting neurological sapient scp sentient 
scp-4856,keter,site-45,alive hostile humanoid keter paradox sapient scp sentient temporal 
scp-4857,esoteric-class,,chaos-insurgency esoteric-class humanoid meta probability scp sentient uncontained 
scp-4858,Euclid,,euclid historical humanoid inscribed religious scp stone structure temporal 
scp-4859,Keter,,antimemetic avian cadaver humanoid keter scp sentient 
scp-486,Safe,site-14,humanoid ophidian safe scp toxic 
scp-4860,Euclid,,acoustic auditory autonomous building euclid extremity hallucination hostile scp toy 
scp-4861,Uncontained,,biological esoteric-class future hostile k-class-scenario scp telekinetic uncontained 
scp-4862,Safe,,building extradimensional hallucination safe scp 
scp-4863,Safe,,ad-astra extraterrestrial safe satellite scp sensory spacetime sun visual 
scp-4864,Safe,site-14,artifact doctor-cimmerian ethics-committee humanoid intangible marshall-carter-and-dark metallic mind-affecting organic rewrite safe sapient scp sentient three-portlands 
scp-4865,Safe,,container corrosive ectoentropic metallic safe scp 
scp-4866,keter,,automaton biological computer ectoentropic electronic hostile humanoid keter predatory reviewers-spotlight sapient scp sentient 
scp-4867,Safe (Uncontained),,compulsion historical infohazard safe scp stone uncontained 
scp-4868,Keter,,compulsion document jam-con2019 keter liquid media meta narrative scp 
scp-4869,neutralized,,alive ethics-committee neutralized sapient scp sentient 
scp-487,Euclid,,building euclid metamorphic scp spacetime 
scp-4870,euclid,site-14,alive animal chelonian euclid infohazard reptilian scp 
scp-4871,euclid,,clothing ethics-committee euclid humanoid metallic scp unusual-incidents-unit weapon 
scp-4872,Insectoid,,arthropod euclid genetic hallucination insect memory-affecting parasitic predatory scp sleep 
scp-4873,Safe,,historical mind-affecting safe scp weapon 
scp-4874,Safe,,artifact biological electromagnetic safe sapient scp sentient transmission 
scp-4875,Keter,,cognitohazard compulsion empathic extradimensional hostile keter location memetic rewrite scp 
scp-4876,Safe,,cognitohazard computer dr-wondertainment factory media safe scp visual 
scp-4877,Euclid,,euclid mobile physics prize-feature scp uncontained 
scp-4878,Safe,,electromagnetic electronic future hive-mind insect metallic neurological safe scp swarm transmission weapon 
scp-4879,Safe,,are-we-cool-yet mind-affecting safe scp sculpture 
scp-488,Euclid,,alive ectoentropic euclid extraterrestrial humanoid location sapient scp sentient 
scp-4880,Safe,site-98,amorphous compulsion food humanoid safe scp sugarcomb-confectionery 
scp-4881,A perimeter around SCP-4881 has been established to prevent unauthorised access. Civilians are permitted to access SCP-4881 if they are under its influence. Methods of reversing SCP-4881's anomalous effects are ongoing.,,engraved plant probability safe scp 
scp-4882,Euclid,,broken-god computer electronic euclid instrument meteorological scp temporal 
scp-4883,Euclid,,alive document ectoentropic euclid humanoid scp 
scp-4884,thaumiel,,4000 compulsion concept extradimensional historical mind-affecting ontokinetic prometheus religious ritual scp serpents-hand thaumiel uncontained 
scp-4885,Keter,,cadaver hostile humanoid infohazard keter scp teleportation 
scp-4886,euclid,site-14,euclid humanoid location reproductive scp sexual the-trashfire uncontained vermian 
scp-4887,keter,,ad-astra alive animal apian biological extraterrestrial indestructible insect keter scp species transfiguration 
scp-4888,neutralized,,4000 alive humanoid neutralized sapient scp sentient teleportation 
scp-4889,Euclid,,alive animal ectoentropic euclid immobile leporine ritual scp 
scp-489,Euclid,,autonomous cadaver euclid extradimensional scp skeletal vehicle 
scp-4890,Safe,,4000 autonomous children-of-the-night document dr-wondertainment humanoid safe sapient scp sentient serpents-hand spacetime temporal 
scp-4891,Keter Apollyon,,apollyon cognitohazard infohazard insect k-class-scenario scp self-replicating sensory species tactile uncontained 
scp-4892,esoteric-class,,esoteric-class foundation-made memetic religious scp sleep 
scp-4893,euclid,,document euclid humanoid meta plant scp sensory 
scp-4894,Safe,,factory historical safe scp tool 
scp-4895,the simpsons farting,,biological ectoentropic euclid gravity humanoid jam-con2019 miniature sapient scp sentient 
scp-4896,Safe,site-65,avian genetic religious safe scp transfiguration weapon 
scp-4897,euclid,,animal canine euclid jam-con2019 military scp 
scp-4898,keter,,extradimensional humanoid keter scp teleportation 
scp-4899,Euclid Keter,,extraterrestrial keter physics predictive scp transmission 
scp-49,Euclid,,audio biological chemical co-authored contagion euclid humanoid plague-doctor reanimation rewrite sapient scp sentient tactile 
scp-490,Safe,,safe scp vehicle 
scp-4900,safe,,4000 inscribed narrative polyhedral predictive safe scp stone 
scp-4901,Keter,,acoustic amorphous biological chicago-spirit historical keter parawatch richard-chappell scp uncontained 
scp-4902,Safe,,jam-con2019 safe sapient scp tool 
scp-4903,Safe,,extradimensional inscribed metallic portal safe scp 
scp-4904,Safe,,electronic jam-con2019 safe scp 
scp-4905,safe,area-32,artifact insect location moon safe satellite scp 
scp-4906,Euclid,,alive animal avian cetacean euclid historical magnetic meteorological scp 
scp-4907,Safe,,document ectoentropic empathic knowledge safe scp sculpture 
scp-4908,Safe,,computer electronic k-class-scenario mind-affecting safe scp unusual-incidents-unit 
scp-4909,Euclid,,extradimensional historical keter ontokinetic scp temporal 
scp-491,Euclid,,building euclid geological light scp spacetime 
scp-4910,Keter,,alive animal biological carnivorous cognitohazard contagion dental ectoentropic hostile keter observational organic predatory reproductive rewrite scp transfiguration uncontained visual 
scp-4911,Safe,,inscribed memory-affecting observational safe scp stone structure 
scp-4912,Safe Neutralized,,autonomous clothing compulsion neutralized scp self-repairing 
scp-4913,Safe,,building probability safe scp 
scp-4914,Safe,,bones computer ectoentropic game gamers-against-weed plant safe scp 
scp-4915,Euclid,,euclid humanoid scp teleportation 
scp-4916,Euclid,,euclid extraterrestrial humanoid metallic religious satellite scp statue 
scp-4917,keter,,humanoid jam-con2019 keter mind-affecting oneiroi scp sleep 
scp-4918,Keter,,biological british-occult-service global-occult-coalition historical humanoid keter military prize-feature probability sapient scp sentient uncontained 
scp-4919,Safe,,building exchange humanoid jam-con2019 safe scp sleep 
scp-492,Safe,,autonomous humanoid safe sapient scp sentient 
scp-4920,Neutralized,,alive building humanoid indestructible neutralized sapient scp sentient temporal vehicle 
scp-4921,Euclid,,alive cognitohazard empathic euclid humanoid infohazard neurological scp sentient 
scp-4922,Keter,,chaos-insurgency extradimensional hostile keter military scp telekinetic three-moons-initiative weapon 
scp-4923,"Keter… or Thaumiel, depending on perspective.",,esoteric-class infohazard meta neurological scp 
scp-4924,Euclid,,acoustic amorphous autonomous cadaver ethics-committee euclid historical hostile liquid mimetic reanimation scp structure subterranean 
scp-4925,Euclid,,ectoentropic electronic euclid hostile sapient scp sentient transmission 
scp-4926,Safe,,document knowledge mechanical safe scp sentient 
scp-4927,Euclid,,airborne compulsion euclid extradimensional observational scp vehicle 
scp-4928,safe,,acoustic feline indestructible location loop safe scp 
scp-4929,Keter,,acoustic compulsion empathic keter knowledge liquid location military scp transmission 
scp-493,Safe,,humanoid safe scp self-replicating sentient 
scp-4930,euclid,,alive euclid fifthist humanoid infohazard meta musical sapient scp sentient 
scp-4931,euclid,,alive city compulsion euclid humanoid indestructible sapient scp self-repairing sentient 
scp-4932,safe,,artifact audio extradimensional hostile meta ontokinetic safe scp 
scp-4933,euclid,,ectoentropic electromagnetic euclid media radioactive scp structure transmission 
scp-4934,Neutralized (Formerly Safe),,autonomous location neutralized ontokinetic scp 
scp-4935,euclid,,alive arthropod end-of-death euclid indestructible k-class-scenario portal scp structure temporal 
scp-4936,euclid,,alive animal arthropod deepwell-catalog euclid extraterrestrial ontokinetic scp sentient teleportation transmission 
scp-4937,Euclid,,antimemetic canine euclid infohazard jam-con2019 meta scp toy 
scp-4938,euclid,,city crystalline ethics-committee euclid geological metallic ontokinetic radioactive scp subterranean transfiguration 
scp-4939,safe,,document electronic extradimensional meta safe scp 
scp-494,Safe,,clothing safe scp transfiguration 
scp-4940,Euclid,,arthropod autonomous electrical euclid metallic metamorphic mimetic scp sentient tool 
scp-4941,euclid,,alive audio cetacean empathic euclid historical intangible scp 
scp-4942,Safe,site-2498,avian biological document humanoid jam-con2019 reptilian ritual safe scp 
scp-4943,safe,site-418,computer director-bold electronic safe scp sentient 
scp-4944,safe,,acoustic auditory empathic safe sapient scp sentient transmission vehicle visual 
scp-4945,euclid,,alive euclid humanoid sapient scp sentient vehicle 
scp-4946,thaumiel,,biohazard contagion intangible mathematical probability scp thaumiel 
scp-4947,keter,,antimemetic building entropic geological infohazard keter knowledge location memory-affecting meta scp subterranean the-trashfire uncontained vermian 
scp-4948,Memetic,,contagion hallucination mind-affecting neutralized organic scp visual 
scp-4949,Safe,,co-authored dado dr-wondertainment ectoentropic medical safe scp toy 
scp-495,Safe,,animal autonomous electrical safe scp thermal toxic toy 
scp-4950,Safe,,animal computer electronic formic k-class-scenario memetic murine safe scp 
scp-4951,Keter / Thaumiel,,avelar computer electronic online predictive sapient scp sentient thaumiel 
scp-4952,safe,,doctor-gears humanoid location loop safe sarkic scp sentient thad-xyank vehicle 
scp-4953,keter,,compulsion extradimensional humanoid keter sapient scp sentient teleportation transfiguration 
scp-4954,thaumiel,,automaton computer cube electronic extraterrestrial metallic physics reviewers-spotlight scp self-replicating sentient thaumiel transmission 
scp-4955,esoteric-class,,cliche2019 compulsion esoteric-class meta researcher-smalls scp tool 
scp-4956,Euclid,,acoustic autonomous co-authored euclid geological historical scp 
scp-4957,Neutralized (Formerly Euclid),,location neutralized portal rewritable scp 
scp-4958,keter,,alive document ectoentropic keter plant reviewers-spotlight scp telepathic 
scp-4959,Euclid,,animal cadaver carnivorous euclid fire historical reanimation religious reptilian scp skeletal subterranean 
scp-496,Keter,,aquatic biohazard chemical contagion hallucination keter rewrite scp self-replicating 
scp-4960,euclid,,4000 adult alive euclid historical humanoid maria-jones redirect sapient scp sentient sexual the-administrator 
scp-4961,neutralized,,alive animal biological canine location neutralized scp three-moons-initiative 
scp-4962,Safe,,co-authored ectoentropic electronic game hallucination media mind-affecting safe scp sleep totleighsoft weapon 
scp-4963,Euclid,,cliche2019 euclid extradimensional humanoid location portal predatory sapient scp spacetime transmission visual 
scp-4964,Euclid,,are-we-cool-yet canine euclid jam-con2019 media recording scp serpents-hand 
scp-4965,euclid,,audio contagion euclid hive-mind memory-affecting observational parasitic recording sapient scp sentient visual 
scp-4966,Safe,site-14,adaptive autonomous cadaver chaos-insurgency empathic indestructible knowledge metamorphic mimetic neurological omnivorous safe sapient scp sentient 
scp-4967,Thaumiel,,cadaver humanoid religious scp tactical-theology thaumiel 
scp-4968,Euclid,site-104,animal cervine ethics-committee euclid location memetic scp 
scp-4969,Euclid,site-45,adult alive animal euclid mind-affecting parasitic redirect scp sentient sexual 
scp-497,Euclid,,acoustic auditory euclid organic scp self-repairing 
scp-4970,Safe,,appliance electronic extradimensional language safe scp 
scp-4971,esoteric-class,,alive animal building cervine director-aktus doctor-cimmerian electromagnetic esoteric-class ethics-committee hostile indestructible k-class-scenario ritual scp sentient spacetime uncontained 
scp-4972,Unknown,,concept esoteric-class narrative scp 
scp-4973,keter,,ectoentropic hallucination hostile intangible keter mobile sapient scp sentient thermal 
scp-4974,Safe,,animal artifact autonomous electrical ritual safe scp 
scp-4975,Euclid,,acoustic alive animal audio avian carnivorous cliche2019 euclid hallucination historical humanoid predatory scp sentient telekinetic teleportation 
scp-4976,safe,site-11,addictive class-of-76 cognitohazard document media memory-affecting observational safe scp visual 
scp-4977,esoteric-class,,biological compulsion esoteric-class humanoid jam-con2019 predictive sapient scp sentient sleep telepathic uncontained 
scp-4978,Euclid,,city euclid genetic hostile humanoid sapient scp sentient 
scp-4979,safe,,biological ectoentropic end-of-death ethics-committee neurological safe sapient scp 
scp-498,Safe,,acoustic appliance electronic mind-affecting safe scp timepiece 
scp-4980,Euclid,,alexylva animal avian biological euclid scp sentient telepathic 
scp-4981,neutralized,,bovine ectoentropic location neutralized sapient scp sentient transfiguration 
scp-4982,Safe,,black-queen daevite doctor-clef document dr-wondertainment fifthist global-occult-coalition marion-wheeler marshall-carter-and-dark meta safe scarlet-king scp serpents-hand wanderers-library wooden 
scp-4983,keter,,acoustic artifact automaton autonomous biological broken-god building empathic gaseous humanoid keter scp 
scp-4984,Keter,,adaptive alive biohazard co-authored fungus keter memory-affecting scp species 
scp-4985,Keter,,building cliche2019 cognitohazard compulsion corporate ethics-committee keter reviewers-spotlight scp uncontained unusual-incidents-unit 
scp-4986,Neutralized,site-19,document hostile neutralized radioactive sapient scp uncontained 
scp-4987,Safe,,cetacean magnetic neurological safe scp 
scp-4988,Euclid Keter,,autonomous avelar co-authored computer humanoid keter online organic scp sentient 
scp-4989,neutralized,,alive future global-occult-coalition golden-horde historical humanoid neutralized reclamation sapient scarlet-king scp sentient 
scp-499,Euclid,,euclid humanoid scp sun 
scp-4990,euclid,,city ectoentropic euclid furniture miniature scp sleep 
scp-4991,neutralized,,co-authored computer deer-college document electronic extradimensional faeowynn-wilson insect insect-hell neutralized scp swarm transmission 
scp-4992,Safe,,food musical plant safe scp 
scp-4993,Safe,,bobble-the-clown cognitohazard media mind-affecting recording safe scp visual 
scp-4994,thaumiel,,extradimensional portal scp thaumiel 
scp-4995,Keter,,contagion currency ectoentropic electromagnetic keter scp 
scp-4996,euclid,,alive euclid exchange religious sapient scp sentient 
scp-4997,keter,,alive geological k-class-scenario keter scp uncontained 
scp-4998,Keter,,4000 ectoentropic ethics-committee keter meta scp 
scp-4999,keter,,4000 humanoid keter observational reviewers-spotlight scp teleportation uncontained 
scp-5,Safe,,adaptive key metallic safe scp sentient 
scp-50,Euclid,,euclid indestructible sapient scp sentient simian statue 
scp-500,Safe,,chemical container medical safe scp 
scp-5000,Safe,,5000 british-occult-service broken-god doctor-bright doctor-gears ectoentropic electronic ethics-committee foundation-made global-occult-coalition manna-charitable-foundation mechanical media safe scp sensory serpents-hand wanderers-library 
scp-5001,thaumiel,,5000 acoustic broken-god chaos-insurgency computer container ectoentropic electrical electromagnetic electronic global-occult-coalition gru-division-p historical marshall-carter-and-dark mind-affecting ontokinetic sapient scp self-repairing sentient subterranean thaumiel 
scp-5002,Neutralized,,5000 cadaver humanoid meta narrative neutralized ontokinetic scp serpents-hand 
scp-5003,Safe,site-18,5000 electrical electromagnetic ethics-committee mechanical safe scp structure subterranean 
scp-5004,thaumiel,,5000 agent-merlo agent-navarro alive director-moose doctor-bright doctor-clef doctor-everwood doctor-gears doctor-glass doctor-light doctor-mann doctor-spanko ethics-committee extradimensional hostile humanoid kain-pathos-crow mark-kiryu ontokinetic ritual sapient scp sentient thaumiel unusual-incidents-unit 
scp-5005,euclid,,5000 biological city euclid extraterrestrial historical light mechanical mind-affecting ontokinetic scp 
scp-5006,keter,,5000 co-authored computer ectoentropic electronic keter memory-affecting scp sentient transfiguration 
scp-5007,Keter,,5000 cognitohazard global-occult-coalition historical humanoid keter location ocular predatory sapient scp sentient subterranean transfiguration 
